date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:55	523/523	---M--	200	added ('OK')	text/plain	etag:%22ee6761a0e1fa719595bc6c30f28bc6be%22	https://play.geforcenow.com/robots.txt		(from )
18:51:56	40590/40590	---MCZ	200	added ('OK')	text/html	etag:W/%2271bbe282ef017c9a172a25a3e9075488%22	https://play.geforcenow.com/mall/	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/index.html	(from )
18:51:56	2632/2632	---M--	200	added ('OK')	application/manifest+json	etag:%22822d818b4ad48d3534aa6836f18071ad%22	https://play.geforcenow.com/mall/manifest.webmanifest	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/manifest.webmanifest	(from https://play.geforcenow.com/mall/)
18:51:56	237139/237139	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f90d9e8b1b36c15e645d4e534307d9a%22	https://play.geforcenow.com/mall/gfn-service-worker.js	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/gfn-service-worker.js	(from https://play.geforcenow.com/mall/)
18:51:56	444729/444729	---M--	200	added ('OK')	image/jpeg	etag:%226c939-59bb1b2647d00%22	https://www.nvidia.com/content/dam/en-zz/Solutions/gfn/webassets/geforce-now-og-no-text-1200x630.jpg	C:/Users/Toast/Desktop/geforce/www.nvidia.com/content/dam/en-zz/Solutions/gfn/webassets/geforce-now-og-no-text-1200x630.jpg	(from https://play.geforcenow.com/mall/)
18:51:57	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sun,%2016%20Oct%202022%2001:51:57%20GMT	https://play.geforcenow.com/mall/$WEBAPIS/webapis/webapis.js	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/$WEBAPIS/webapis/webapis.js	(from https://play.geforcenow.com/mall/)
18:51:57	54409/54409	---M--	200	added ('OK')	image/png	etag:%2217b77ac31ce1cae2b7f0981a5060fcbb%22	https://play.geforcenow.com/mall/assets/img/GFN_logo1024.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/GFN_logo1024.png	(from https://play.geforcenow.com/mall/)
18:51:58	6421/6421	---M--	200	added ('OK')	image/png	etag:%2264b24b344a440245710acdef68369fbc%22	https://play.geforcenow.com/mall/assets/icons/GFN-Logo-120.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/icons/GFN-Logo-120.png	(from https://play.geforcenow.com/mall/)
18:51:58	7939/7939	---M--	200	added ('OK')	image/png	etag:%225f94f7847469a4e1e09f414c69effda5%22	https://play.geforcenow.com/mall/assets/icons/GFN-Logo-152.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/icons/GFN-Logo-152.png	(from https://play.geforcenow.com/mall/)
18:51:58	8615/8615	---M--	200	added ('OK')	image/png	etag:%2279e41ab337b6ec38fac2f5fe731cbe2d%22	https://play.geforcenow.com/mall/assets/icons/GFN-Logo-167.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/icons/GFN-Logo-167.png	(from https://play.geforcenow.com/mall/)
